District,Year,Crop,Season,Area(Hectare),Max Temp(C),Min Temp(C),Rainfall(in mm),Rainfall Days,Avg Windspeed(kmph),Production(Tonnes),Yield(Tonnes/Hectare)
Shimoga,2009-10,Arecanut,Whole Year,41185,30.16,19.5,203.24,19.83,8.08,294627,7.15
Shimoga,2010-11,Arecanut,Whole Year,43530,31,19.58,119.53,19.75,7.4,373631,8.58
Shimoga,2011-12,Arecanut,Whole Year,45411,30.75,18.41,108.96,18.33,9.18,243442,5.36
Shimoga,2012-13,Arecanut,Whole Year,47478,31.83,19,75.98,16.66,9.3,254522,5.36
Shimoga,2013-14,Arecanut,Whole Year,48401,31.58,19.33,64.35,18.08,9.35,538587,11.13
Shimoga,2014-15,Arecanut,Whole Year,51689,31.83,19.58,87.65,19.16,8.84,386605,7.48
Shimoga,2015-16,Arecanut,Whole Year,52550,31.41,18.08,115.08,19.75,8.38,505418,9.62
Shimoga,2016-17,Arecanut,Whole Year,55256,31.75,19.33,74.3,17.58,8.19,629637,11.39
Shimoga,2017-18,Arecanut,Whole Year,58855,31.41,19.5,132.91,16.75,9.38,645592,10.97
Shimoga,2018-19,Arecanut,Whole Year,92241,30.41,20.5,129.14,15.83,11,846523,9.18
,,,,,,,,,,,
Shimoga,2009-10,Coconut,Whole Year,6339,30.16,19.5,203.24,19.83,8.08,45071000,7110.11
Shimoga,2010-11,Coconut,Whole Year,6351,31,19.58,119.53,19.75,7.4,60712000,9559.44
Shimoga,2011-12,Coconut,Whole Year,5954,30.75,18.41,108.96,18.33,9.18,59286000,9957.34
Shimoga,2012-13,Coconut,Whole Year,5736,31.83,19,75.98,16.66,9.3,57116000,9957.46
Shimoga,2013-14,Coconut,Whole Year,5419,31.58,19.33,64.35,18.08,9.35,42994000,7933.94
Shimoga,2014-15,Coconut,Whole Year,5403,31.83,19.58,87.65,19.16,8.84,48216000,8923.93
Shimoga,2015-16,Coconut,Whole Year,5774,31.41,18.08,115.08,19.75,8.38,48285000,8362.49
Shimoga,2016-17,Coconut,Whole Year,5550,31.75,19.33,74.3,17.58,8.19,43390000,7818.02
Shimoga,2017-18,Coconut,Whole Year,5157,31.41,19.5,132.91,16.75,9.38,40777000,7907.12
Shimoga,2018-19,Coconut,Whole Year,6036,30.41,20.5,129.14,15.83,11,42750000,7082.5
,,,,,,,,,,,
Shimoga,2009-10,Sugarcane,Kharif,3739,30.16,19.5,203.24,19.83,8.08,454662,121.6
Shimoga,2010-11,Sugarcane,Kharif,5900,31,19.58,119.53,19.75,7.4,650180,110.2
Shimoga,2011-12,Sugarcane,Kharif,4197,30.75,18.41,108.96,18.33,9.18,442574,105.45
Shimoga,2012-13,Sugarcane,Kharif,3943,31.83,19,75.98,16.66,9.3,449502,114
Shimoga,2013-14,Sugarcane,Kharif,4915,31.58,19.33,64.35,18.08,9.35,471594,95.95
Shimoga,2014-15,Sugarcane,Kharif,3940,31.83,19.58,87.65,19.16,8.84,393015,99.75
Shimoga,2015-16,Sugarcane,Kharif,3981,31.41,18.08,115.08,19.75,8.38,359285,90.25
Shimoga,2016-17,Sugarcane,Kharif,2447,31.75,19.33,74.3,17.58,8.19,211543,86.45
Shimoga,2017-18,Sugarcane,Kharif,1268,31.41,19.5,132.91,16.75,9.38,112028,88.35
Shimoga,2018-19,Sugarcane,Kharif,1002,30.41,20.5,129.14,15.83,11,95190,95
,,,,,,,,,,,
Shimoga,2009-10,Rice,Kharif,133259,30.16,19.5,203.24,19.83,8.08,320152,2.4
Shimoga,2010-11,Rice,Kharif,132394,31,19.58,119.53,19.75,7.4,375318,2.83
Shimoga,2011-12,Rice,Kharif,128979,30.75,18.41,108.96,18.33,9.18,384654,2.98
Shimoga,2012-13,Rice,Kharif,123311,31.83,19,75.98,16.66,9.3,328904,2.67
Shimoga,2013-14,Rice,Kharif,124622,31.58,19.33,64.35,18.08,9.35,380810,3.06
Shimoga,2014-15,Rice,Kharif,121869,31.83,19.58,87.65,19.16,8.84,370006,3.04
Shimoga,2015-16,Rice,Kharif,110025,31.41,18.08,115.08,19.75,8.38,286757,2.61
Shimoga,2016-17,Rice,Kharif,104444,31.75,19.33,74.3,17.58,8.19,218596,2.09
Shimoga,2017-18,Rice,Kharif,93516,31.41,19.5,132.91,16.75,9.38,235096,2.51
Shimoga,2018-19,Rice,Kharif,95087,30.41,20.5,129.14,15.83,11,245464,2.58
,,,,,,,,,,,
Shimoga,2009-10,Moong,Rabi,1569,30.16,19.5,203.24,19.83,8.08,406,0.26
Shimoga,2010-11,Moong,Rabi,1888,31,19.58,119.53,19.75,7.4,658,0.35
Shimoga,2011-12,Moong,Rabi,1353,30.75,18.41,108.96,18.33,9.18,529,0.39
Shimoga,2012-13,Moong,Rabi,264,31.83,19,75.98,16.66,9.3,67,0.25
Shimoga,2013-14,Moong,Rabi,1027,31.58,19.33,64.35,18.08,9.35,182,0.18
Shimoga,2014-15,Moong,Rabi,924,31.83,19.58,87.65,19.16,8.84,278,0.3
Shimoga,2015-16,Moong,Rabi,1835,31.41,18.08,115.08,19.75,8.38,600,0.33
Shimoga,2016-17,Moong,Rabi,535,31.75,19.33,74.3,17.58,8.19,68,0.13
Shimoga,2017-18,Moong,Rabi,291,31.41,19.5,132.91,16.75,9.38,65,0.22
Shimoga,2018-19,Moong,Rabi,269,30.41,20.5,129.14,15.83,11,59,0.22